Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,count,code,flags
USA,Americas,46780515,14132.973,587281,177.425,83155,756664,228.59799999999998,8049,2.432,714,0,US,🇺🇸
India,South-East Asia,34456401,2496.833,79288,5.745,8865,463852,33.611999999999995,2463,0.17800000000000002,197,0,IN,🇮🇳
Brazil,Americas,21957967,10330.271999999999,77528,36.474000000000004,4129,611283,287.582,1836,0.8640000000000001,61,0,BR,🇧🇷
The United Kingdom,Europe,9600373,14141.903,266478,392.537,39270,142945,210.56599999999997,1083,1.595,47,0,GB,🇬🇧
Russia,Europe,9145912,6267.137,272257,186.56099999999998,36818,257837,176.68,8622,5.9079999999999995,1240,0,RU,🇷🇺
Turkey,Europe,8432018,9997.761,172515,204.549,23852,73746,87.44,1432,1.6980000000000002,215,0,TR,🇹🇷
France,Europe,7064362,10861.671999999999,69787,107.3,3241,115777,178.011,251,0.386,70,0,FR,🇫🇷
Iran,Eastern Mediterranean,6045212,7197.285,49057,58.406000000000006,7494,128272,152.718,833,0.992,105,0,IR,🇮🇷
Argentina,Americas,5305742,11739.465,8961,19.827,0,116232,257.17400000000004,128,0.28300000000000003,0,0,AR,🇦🇷
Germany,Europe,5077124,6104.755,272746,327.95099999999996,32048,97980,117.81200000000001,1253,1.507,265,0,DE,🇩🇪
Spain,Europe,5056954,10683.868,23060,48.718999999999994,1288,87716,185.31799999999998,83,0.175,1,0,ES,🇪🇸
Colombia,Americas,5031945,9889.267,16903,33.219,2610,127809,251.183,276,0.542,43,0,CO,🇨🇴
Italy,Europe,4865260,8157.509,52265,87.632,5144,132819,222.696,396,0.664,44,0,IT,🇮🇹
Indonesia,South-East Asia,4251423,1554.317,2580,0.943,347,143685,52.531000000000006,107,0.039,15,0,ID,🇮🇩
Mexico,Americas,3845733,2982.743,18947,14.695,942,291147,225.813,1413,1.0959999999999999,58,0,MX,🇲🇽
